DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.130	no alignment
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.130	no alignment
DNA-26915-CG001Qv42Run273-24_S24.CG001v3.4.130	no alignment
DNA-26916-CG001Qv42Run273-10_S10.CG001v3.4.130	no alignment
DNA-26917-CG001Qv42Run273-11_S11.CG001v3.4.130	no alignment
DNA-26918-CG001Qv42Run273-12_S12.CG001v3.4.130	no alignment
DNA-26919-CG001Qv42Run273-13_S13.CG001v3.4.130	no alignment
DNA-26920-CG001Qv42Run273-14_S14.CG001v3.4.130	no alignment
DNA-26921-CG001Qv42Run273-15_S15.CG001v3.4.130	no alignment
DNA-26922-CG001Qv42Run273-16_S16.CG001v3.4.130	no alignment
DNA-26923-CG001Qv42Run273-17_S17.CG001v3.4.130	no alignment
DNA-26969-CG001Qv42Run273-4_S4.CG001v3.4.130	no alignment
DNA-26971-CG001Qv42Run273-8_S8.CG001v3.4.130	no alignment
DNA-26972-CG001Qv42Run273-18_S18.CG001v3.4.130	no alignment
DNA-26973-CG001Qv42Run273-19_S19.CG001v3.4.130	no alignment
DNA-26974-CG001Qv42Run273-20_S20.CG001v3.4.130	no alignment
DNA-26975-CG001Qv42Run273-21_S21.CG001v3.4.130	no alignment
DNA-26976-CG001Qv42Run273-9_S9.CG001v3.4.130	no alignment
DNA-27050-CG001Qv42Run273-5_S5.CG001v3.4.130	no alignment
DNA-27051-CG001Qv42Run273-6_S6.CG001v3.4.130	no alignment
NF-CG001Qv42Run273-3_S3.CG001v3.4.130	no alignment
QMRS-CG001Qv42Run273-2_S2.CG001v3.4.130	no alignment
